Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3700.000000,3750.000000,3680.000000,3680.000000,3383.167969,39737700
2022-03-01,3690.000000,3730.000000,3670.000000,3680.000000,3383.167969,21312400
2022-03-02,3680.000000,3810.000000,3650.000000,3660.000000,3364.781006,37310800
2022-03-04,3660.000000,3670.000000,3520.000000,3520.000000,3236.073486,42359200
2022-03-07,3500.000000,3510.000000,3400.000000,3430.000000,3153.333252,41980800
2022-03-08,3420.000000,3520.000000,3360.000000,3360.000000,3088.979736,35450900
2022-03-09,3370.000000,3450.000000,3370.000000,3400.000000,3125.753174,24068100
2022-03-10,3450.000000,3460.000000,3370.000000,3430.000000,3153.333252,19292400
2022-03-11,3420.000000,3420.000000,3370.000000,3370.000000,3098.172852,19258300
2022-03-14,3380.000000,3410.000000,3370.000000,3380.000000,3107.366211,20868200
2022-03-15,3400.000000,3440.000000,3280.000000,3280.000000,3015.432129,35618500
2022-03-16,3290.000000,3540.000000,3280.000000,3450.000000,3171.720215,66871800
2022-03-17,3490.000000,3520.000000,3380.000000,3420.000000,3144.139648,33986000
2022-03-18,3430.000000,3440.000000,3340.000000,3360.000000,3088.979736,23334800
2022-03-21,3360.000000,3470.000000,3330.000000,3460.000000,3180.913574,29782900
2022-03-22,3460.000000,3500.000000,3440.000000,3490.000000,3208.493652,24196400
2022-03-23,3500.000000,3510.000000,3410.000000,3410.000000,3134.946289,16459800
2022-03-24,3400.000000,3420.000000,3360.000000,3380.000000,3107.366211,24615200
2022-03-25,3390.000000,3420.000000,3380.000000,3400.000000,3125.753174,14146900
2022-03-28,3400.000000,3490.000000,3370.000000,3460.000000,3180.913574,23752600
2022-03-29,3480.000000,3560.000000,3480.000000,3480.000000,3199.300293,41388600
2022-03-30,3500.000000,3740.000000,3500.000000,3720.000000,3419.941650,91287100
2022-03-31,3730.000000,3760.000000,3650.000000,3660.000000,3364.781006,47424200
2022-04-01,3660.000000,3690.000000,3600.000000,3620.000000,3328.007813,26735700
2022-04-04,3630.000000,3660.000000,3540.000000,3570.000000,3282.040527,36823300
2022-04-05,3570.000000,3690.000000,3570.000000,3680.000000,3383.167969,30816700
2022-04-06,3680.000000,3680.000000,3560.000000,3600.000000,3309.620605,25193400
2022-04-07,3600.000000,3640.000000,3550.000000,3570.000000,3282.040527,18081300
2022-04-08,3590.000000,3600.000000,3520.000000,3540.000000,3254.460205,14057400
2022-04-11,3570.000000,3570.000000,3450.000000,3460.000000,3180.913574,27777500
2022-04-12,3460.000000,3520.000000,3410.000000,3520.000000,3236.073486,17817400
2022-04-13,3520.000000,3520.000000,3410.000000,3440.000000,3162.526367,20850000
2022-04-14,3430.000000,3460.000000,3400.000000,3400.000000,3125.753174,9591300
2022-04-18,3400.000000,3440.000000,3370.000000,3390.000000,3116.559570,10009100
2022-04-19,3390.000000,3410.000000,3350.000000,3350.000000,3079.785889,13023000
2022-04-20,3390.000000,3510.000000,3370.000000,3470.000000,3190.106689,29867500
2022-04-21,3470.000000,3500.000000,3400.000000,3400.000000,3125.753174,19189900
2022-04-22,3400.000000,3440.000000,3370.000000,3430.000000,3153.333252,16244400
2022-04-25,3420.000000,3720.000000,3400.000000,3690.000000,3392.361328,53256900
2022-04-26,3720.000000,3930.000000,3690.000000,3890.000000,3576.229004,96737500
2022-04-27,3890.000000,3900.000000,3770.000000,3810.000000,3502.681885,36437100
2022-04-28,3830.000000,3920.000000,3770.000000,3890.000000,3576.229004,33886500
2022-05-09,4000.000000,4140.000000,3890.000000,4010.000000,3686.549805,103950200
2022-05-10,4010.000000,4400.000000,3990.000000,4380.000000,4026.705078,172562700
2022-05-11,4400.000000,4940.000000,4380.000000,4880.000000,4486.374512,197748700
2022-05-12,4920.000000,4940.000000,4580.000000,4690.000000,4311.699707,118621900
2022-05-13,4690.000000,4900.000000,4660.000000,4800.000000,4412.827637,79196200
2022-05-17,4810.000000,4900.000000,4660.000000,4800.000000,4412.827637,43843800
2022-05-18,4820.000000,5075.000000,4810.000000,5025.000000,4619.678711,88532400
2022-05-19,4960.000000,5000.000000,4850.000000,4880.000000,4486.374512,56274400
2022-05-20,4870.000000,5125.000000,4860.000000,5050.000000,4642.663086,58516300
2022-05-23,5050.000000,5075.000000,4850.000000,4880.000000,4486.374512,37184300
2022-05-24,4920.000000,4950.000000,4700.000000,4810.000000,4422.021484,39458200
2022-05-25,4860.000000,4900.000000,4730.000000,4770.000000,4385.247070,38989700
2022-05-27,4800.000000,4840.000000,4710.000000,4760.000000,4376.054199,31887700
2022-05-30,4760.000000,4760.000000,4620.000000,4650.000000,4274.926758,49609700
2022-05-31,4680.000000,4820.000000,4630.000000,4730.000000,4348.474121,93943100
2022-06-02,4760.000000,4890.000000,4710.000000,4790.000000,4403.634277,56089200
2022-06-03,4810.000000,4810.000000,4720.000000,4720.000000,4339.280273,25523600
